timestamp,meter_id,dma_code,dma_name,flow,unit,data_class
2026-09-01T00:00:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,7.45,L/s,synthetic
2026-09-01T00:15:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,7.22,L/s,synthetic
2026-09-01T00:30:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,7.44,L/s,synthetic
2026-09-01T00:45:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,7.5,L/s,synthetic
2026-09-01T01:00:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,4.62,L/s,synthetic
2026-09-01T01:15:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,4.65,L/s,synthetic
2026-09-01T01:30:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,4.57,L/s,synthetic
2026-09-01T01:45:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,4.49,L/s,synthetic
2026-09-01T02:00:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,4.68,L/s,synthetic
2026-09-01T02:15:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,4.63,L/s,synthetic
2026-09-01T02:30:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,4.67,L/s,synthetic
2026-09-01T02:45:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,4.62,L/s,synthetic
2026-09-01T03:00:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,4.61,L/s,synthetic
2026-09-01T03:15:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,4.65,L/s,synthetic
2026-09-01T03:30:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,4.63,L/s,synthetic
2026-09-01T03:45:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,4.7,L/s,synthetic
2026-09-01T04:00:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,4.6,L/s,synthetic
2026-09-01T04:15:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,4.52,L/s,synthetic
2026-09-01T04:30:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,4.65,L/s,synthetic
2026-09-01T04:45:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,7.91,L/s,synthetic
2026-09-01T05:00:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,8.02,L/s,synthetic
2026-09-01T05:15:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,8.51,L/s,synthetic
2026-09-01T05:30:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,8.97,L/s,synthetic
2026-09-01T05:45:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,9.35,L/s,synthetic
2026-09-01T06:00:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,9.73,L/s,synthetic
2026-09-01T06:15:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,10.36,L/s,synthetic
2026-09-01T06:30:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,10.99,L/s,synthetic
2026-09-01T06:45:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,11.34,L/s,synthetic
2026-09-01T07:00:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,11.56,L/s,synthetic
2026-09-01T07:15:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,11.87,L/s,synthetic
2026-09-01T07:30:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,11.79,L/s,synthetic
2026-09-01T07:45:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,11.67,L/s,synthetic
2026-09-01T08:00:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,11.67,L/s,synthetic
2026-09-01T08:15:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,11.17,L/s,synthetic
2026-09-01T08:30:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,10.96,L/s,synthetic
2026-09-01T08:45:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,10.48,L/s,synthetic
2026-09-01T09:00:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,9.99,L/s,synthetic
2026-09-01T09:15:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,9.54,L/s,synthetic
2026-09-01T09:30:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,9.33,L/s,synthetic
2026-09-01T09:45:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,8.66,L/s,synthetic
2026-09-01T10:00:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,8.59,L/s,synthetic
2026-09-01T10:15:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,8.3,L/s,synthetic
2026-09-01T10:30:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,8.08,L/s,synthetic
2026-09-01T10:45:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,8.06,L/s,synthetic
2026-09-01T11:00:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,8.02,L/s,synthetic
2026-09-01T11:15:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,7.94,L/s,synthetic
2026-09-01T11:30:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,7.95,L/s,synthetic
2026-09-01T11:45:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,8.09,L/s,synthetic
2026-09-01T12:00:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,7.85,L/s,synthetic
2026-09-01T12:15:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,7.99,L/s,synthetic
2026-09-01T12:30:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,7.74,L/s,synthetic
2026-09-01T12:45:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,8.01,L/s,synthetic
2026-09-01T13:00:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,7.73,L/s,synthetic
2026-09-01T13:15:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,8.04,L/s,synthetic
2026-09-01T13:30:00,FM-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,7.9,L/s,synthetic
